,id,text,Cleaned_tweet
110,0.5655083966242913-113,#Twitter10Years #TwitterIn5Words All are on 1 platform.,al are on platform 
111,0.5655083966242913-114,11minutes or 2 wickets...for the storm to cone. #SLvWI #T20WorldCup @henrygayle #T20WC,minutes or wickets for the storm to cone 
112,0.5655083966242913-115,So many great personalities..in #EdenGardenKolkata #T20WorldCup #IndvsPak,so many great personalities in
113,0.5655083966242913-116,BBC News - Trump presidency rated among top 10 global risks: EIU,bbc news trump presidency rated among top global risks eiu
114,0.5655083966242913-117,Every city in India... has the largest mall in India #funfact #ithappensonlyinindia,every city in india has the largest mal in india
115,0.5655083966242913-118,Is this real... 800 ??? @bookmyshow #crazy,is this real 
116,0.5655083966242913-119,"https://youtu.be/dKrVegVI0Us 

Fighting villian is too mainstream.. @CaptainAmerica #CivilWarTrailer #spiderman AWESOME!!",fighting villian is to mainstream awesome 
117,0.5655083966242913-120,In turn of events.. #fortune #India,in turn of events 
118,0.5655083966242913-121,"http://www.pcadvisor.co.uk/new-product/google-android/android-n-uk-release-date-name-feature-rumours-18-may-na-3628675/ … 

Android N..my take... N for NOUGAT @google @Android @googleindia",android n my take n for nougat
119,0.5655083966242913-122,"click
<span class>click</span> 

There's a world of difference....

Tech trivia #Apple",click span clas click span there a world of difference tech trivia
120,0.5655083966242913-123,"Want ur own state? or reservation? Contact:useless ppl sitting idle,pay thm few bugs fr creating panic,ur job is done .#India #JatQuotaStir",want ur own state or reservation contact useles ppl sitting idle pay thm few bugs fr creating panic ur job is done 
121,0.5655083966242913-124,"Want reservation..? Block highways, canals, burn vehicles. You are reserved.. Simple isn't it. #India #JatReservation #DelhiWaterCrisis",want reservation block highways canals burn vehicles you are reserved simple isn t it 
122,0.5655083966242913-125,"Valentine's special.... Check out my new blog post.

https://gauravdey.wordpress.com/2016/02/13/head-over-heels-in-love/ …",valentine special check out my new blog post 
123,0.5655083966242913-126,Head over Heels..in Love https://gauravdey.wordpress.com/2016/02/13/head-over-heels-in-love/ …,head over heels in love
124,0.5655083966242913-127,He has charm that can make any movie work. @irrfan_k #IrrfanatSAP,he has charm that can make any movie work 
125,0.5655083966242913-128,Bollywood have a handful of real artists like him. @irrfan_k #IrrfanatSAP,bollywood have a handful of real artists like him 
126,0.5655083966242913-129,Intense eye and acting talent that made him a star. #IrrfanatSAP @irrfan_k,intense eye and acting talent that made him a star 
127,0.5655083966242913-130,"""Irfaan's eyes speak louder than his words and every time he is in frame"" @irrfan_k #IrrfanatSAP",irfaan eyes speak louder than his words and every time he is in frame
128,0.5655083966242913-131,"The poignant star who perhaps doesn't look it, but can pull off any kind of role. #IrrfanatSAP",the poignant star who perhaps doesn t look it but can pul of any kind of role 
129,0.5655083966242913-132,"Ambitious, brash, fearless goon who is mind-blowing. He is outright scary and makes you sit up, wondering what he'll do next"" #IrrfanatSAP",ambitious brash fearles goon who is mind blowing he is outright scary and makes you sit up wondering what he l do next
130,0.5655083966242913-133,A role that explores romance on a new level would suit me. #IrrfanatSAP,a role that explores romance on a new level would suit me 
131,0.5655083966242913-134,Eagerly waiting..for #IrrfanatSAP,eagerly waiting for
132,0.5655083966242913-135,I've played many characters that have consumed me and owned me. #IrrfanatSAP,i ve played many characters that have consumed me and owned me 
133,0.5655083966242913-136,#BaeIn3Words miss you bae..:D :D,mis you bae d d
134,0.5655083966242913-137,French soldiers march down in #Rajpath #RepublicDay #67 #India #ProudIndian,french soldiers march down in
135,0.5655083966242913-138,Pink city..here I am.. #codejam #jaipur #lnmit,pink city here i am 
136,0.5655083966242913-139,What it would be like..? #dogwearingpants,what it would be like 
137,0.5655083966242913-140,To save #MattDamon ? Eng estimates it would reach a whopping $900 billion.,to save eng estimates it would reach a whopping billion 
138,0.5655083966242913-141,Another year just passed away #2015In5Words,another year just passed away
139,0.5655083966242913-142,"10k and a Sewing machine for ""Ladies"" tailor for brutally raping a girl #juvenile #strange #NirbhayaRapist #India #shame",k and a sewing machine for ladies tailor for brutally raping a girl
140,0.5655083966242913-143,Good and bad times together #2015infivewords @midnight,good and bad times together
141,0.5655083966242913-144,"http://www.bangaloremirror.com/bangalore/crime/A-new-scam-by-auto-drivers/articleshow/50068275.cms …

Another act of shame.. #pothole #Bengaluru #autorickshaw #itcity",another act of shame 
142,0.5655083966242913-145,Why don't you just disappear #BreakUpIn5Words,why don t you just disappear
143,0.5655083966242913-146,Watch it by as the pendulum swings #1stDecember,watch it by as the pendulum swings
144,0.5655083966242913-147,Every year we say so !! :( :(,every year we say so 
145,0.5655083966242913-148,"it's 1st of december already!
2015 have gone so fast ",it st of december already have gone so fast
146,0.5655083966242913-149,Anyone needs a #oneplus2invite ?? I'hv got 1 for India location...,anyone needs a i hv got for india location 
147,0.5655083966242913-150,Parliament to go paperless from today. #DigitalIndia,parliament to go paperles from today 
148,0.5655083966242913-151,"http://www.businessinsider.com/random-guy-bought-googlecom-12-dollars-domain-2015-10#ooid=c2a3N2dzr2pve_MMdnEQQvIEEOmYJVZC …

Strange @google #tech",strange
149,0.5655083966242913-152,Ohh this is the reason why #AamirKhan don't attend award functions..  #Intolerance,oh this is the reason why don t attend award functions 
150,0.5655083966242913-153,@madversity hahaha..,hahaha 
151,0.5655083966242913-154,The nations that gave them bread n butter.. now they want to leave the country.. #AamirKhan #IntoleranceDebate #astound,the nations that gave them bread n butter now they want to leave the country 
