id,text
0.5477838252581613-85,#AAPkaCM #AAPkiJeet #AAPkaNayak #AAPSweep @ArvindKejriwal @AamAadmiParty #DelhiDecides Anna Hazare sends best wishes to @ArvindKejriwal
0.5477838252581613-86,#AAPkaCM #AAPkiJeet #AAPkaNayak #AAPSweep @AamAadmiParty #DelhiDecides @narendramodi to @ArvindKejriwal will meet for tea soon
0.5477838252581613-87,#AAPkaCM #AAPkiJeet #AAPkaNayak #AAPSweep @ArvindKejriwal @AamAadmiParty #DelhiDecides Entire BJP Team can fit an auto (3)
0.5477838252581613-88,#AAPkaCM #AAPkiJeet #AAPkaNayak #AAPSweep @ArvindKejriwal @AamAadmiParty  @narendramodi says full support to Delhi from Central @ndtv
0.5477838252581613-89,#AAPkaCM #AAPkiJeet #AAPkaNayak #AAPSweep @ArvindKejriwal @AamAadmiParty @aartic02 Its a win of clean politics its political reform @ndtv
0.5477838252581613-90,#AAPkaCM #AAPkiJeet #AAPkaNayak #AAPSweep @ArvindKejriwal @AamAadmiParty @aartic02 OMG OMG what a victory even all #Exitpolls failed
0.5477838252581613-91,#AAPkaCM #AAPkiJeet #AAPkaNayak #AAPSweep Badhai ho @ArvindKejriwal @AamAadmiParty @aartic02 Now we will deliver what we said
0.5477838252581613-92,Watch Artistic video http://www.youtube.com/watch?v=JCdUG2JRFLE …  Ziva Who's Who & How Much The List
0.5477838252581613-93,Watch Artistic video http://www.youtube.com/watch?v=JCdUG2JRFLE … #SwissLeaks #4DaysToMSG #Grammys2015 Happy Chocolate Day HSBC #HappyTogether #MeriDilli
0.5477838252581613-94,Women feel safe by fixing Police Logo On their scooty. See how safe we are #Vote4MufflerMan #AbkiBaarBediSarkaar #DelhiShowdown
0.5477838252581613-95,Entire Govt. of India is trying to dig holes for Kejriwal it seems all are afraid of him and his trustworthyness hence #ThisTimeAAP
0.5477838252581613-96,Seems Modi Wave is missing even modi is missing from Delhi and BJP gonna target Bedi for defeat in Delhi #ThisTimeAAP
0.5477838252581613-97,#ThisTimeAAP Its gonna create a history by routing out both the national parties #DelhiFightClub
0.5477838252581613-98,Bazaru............. Can we accept such kind of language from the PM of India. Its really shameful that ppl of India elected him #ThisTimeAAP
0.5477838252581613-99,"No othr political party except AAP is daring 2 declare their source of fundin #ThisTimeAAP VOTE 4 AAP, VOTE 4 TRUTH, VOTE AGAINST CORRUPTION"
0.5477838252581613-100,@Shraddha48 hello
0.5477838252581613-101,Hey frnds hv a look at this video and RT http://vimeo.com/115173540   @gurjeet_chhabra
0.5477838252581613-102,Have a look at the wonderful video  http://vimeo.com/115173540   Facebook and Instagram SRK Pride Of India
0.5477838252581613-103,"Twtr Opinion Pol
Wch 1 is bst CM ? 

RT 4 #Kejriwal4Delhi 
Favr8 for #KiranBedi
Ignor 4 #AjayMaken #IRunBedi #AskObamaModi #BediVsKejriwal"
0.5477838252581613-104,#IRunBedi is running so fast and taking too much u-turn even Milkha Singh's conceded defeat lolz Krishna Nagar #BediVsKejriwal
0.5477838252581613-105,@Iam_Prerna Lakho k hoarding per AAPstards bhari. lolwz
0.5477838252581613-106,@Negativeless Like NaMo doing since Many 2014 :D @aartic02
0.5477838252581613-107,#WalkWithKejriwal Its my humble request to Anna Ji to join politics coz its the high time to make Delhi and India Coruption free @aartic02
0.5477838252581613-108,#WalkWithKejriwal Coz IPS is not trustable as she took U-turn from her own old tweets and even deceived Annaji
0.5477838252581613-109,"#WalkWithKejriwal if u really wnt a ""NAYAK"". Its nw or never. Nobdy prefers 2 join politics bt AK did it 2 make it corruption free @aartic02"
0.5477838252581613-110,#WalkWithKejriwal if you really want a corruption and law and order maintained Delhi @aartic02
0.5477838252581613-111,AAP dont bring supporters in Trucks by wasting Millions of Rs. they themselves come forward for a better India #WalkWithKejriwal @aartic02
0.5477838252581613-112,Dont dnw y just 2 impres Obama Govt. is wastin money on CCTV. Hop it cud hv been used 4 poor n health budget #WalkWithKejriwal @aartic02
0.5477838252581613-113,Yeah thats y I call politics Dirty coz even an IPS Officer cannot stay on her statement of not joining politics lol #WalkWithKejriwal
0.5477838252581613-114,#SwamiVivekananda is my inspiration and is my real leader comparing to present leader of India.
0.5477838252581613-115,#DelhiAsksPMModi When delhi will be given Full Statehood
0.5477838252581613-116,#DelhiAsksPMModi Jan Dhan Yojna people opened 0 balance account n yet d account is zero. u gona fill is wid LPG subsidy lol Googly @aartic02
0.5477838252581613-117,#DelhiAsksPMModi What is ur relation with Ambani and Adnani. Let the people of India know @aartic02
0.5477838252581613-118,#DelhiAsksPMModi U were a good orator prior to PM and now you hv become Manmohan Singh mostly keeps mum :P @aartic02
0.5477838252581613-119,#DelhiAsksPMModi for LS election u declared caption but y u r not declaring for Delhi.... Dar l aage jeet hain sir ji :P @aartic02
0.5477838252581613-120,@ek_Kiran #DelhiAsksPMModi Wn u ll pass ordinance lyk othr ordinance 2 implement Uniform Civil Code or u ll prefer Indians to hv 4 children
0.5477838252581613-121,#DelhiAsksPMModi why you reduced the health budget ????
0.5477838252581613-122,#DelhiAsksPMModi Y ur MP's give useless statements all the time. I hope Make in India doesn't mean 4 children :P @AamAadmiParty
0.5477838252581613-123,"#DelhiAsksPMModi when you are going to introduce Uniform Civil Code, Removal of 370, Bringing back black money etc. etc."
0.5477838252581613-124,#DelhiAsksPMModi Y u r trying to bring law through ordinance only.
0.5477838252581613-125,"#DelhiAsksPMModi Y subsidy of cylinder is account so that state govt me include tax on that also.... huhhhhhhhhhhhh ""Acche Din"""
0.5477838252581613-126,#DelhiAsksPMModi Y u r wasting public money by visiting abroad only.
0.5477838252581613-127,"#DelhiAsksPMModi Where are the ""Acche Din"" Sir Ji I am still waiting for the same. You are running the policies of Congress by changing name"
0.5477838252581613-128,@bhumika1231 @HDFCLIFE This one is really dangerous wid dangerous look :P I am frightened :P
0.5477838252581613-129,#ParisShooting proved that the Freedom of Speech is at stake
0.5477838252581613-130,@bhumika1231 v. good morning
0.5477838252581613-131,@monika_imu mention not beauty needs appraisal and appreciation
0.5477838252581613-132,@ArtistAloud Okie team Thanx for ur dm msg. I will wait for ur response
0.5477838252581613-133,@monika_imu Happy new year buddy nic pic
0.5477838252581613-134,@ArtistAloud Is this platform for the fresh artist who want to sell his paintings ???
0.5477838252581613-135,@ChocoShah nice pic sweet shweta
0.5477838252581613-136,@Indorerockers Indore is lovable thats y every1 loves it
0.5477838252581613-137,#Indore is trending on top. Yeah #Indorerocks despite there being freezing cold :P
0.5477838252581613-138,@archanarathi88 whohoooooooooo our city is trending at top #Indore
0.5477838252581613-139,@msdhoni thank you for taking decision to retire. Now the politics will end in Team India #DhoniRetires
0.5477838252581613-140,@makemytrip A.8) Germany #TravelSanta 20
0.5477838252581613-141,@makemytrip A.8) Germany #TravelSanta 19
0.5477838252581613-142,@makemytrip MASSIVE SHOUT OUT LIKE NEVER BEFORE FOR #TravelSanta #TravelSanta  #TravelSanta  #TravelSanta  #TravelSanta  #TravelSanta 100
0.5477838252581613-143,@makemytrip MASSIVE SHOUT OUT LIKE NEVER BEFORE FOR #TravelSanta #TravelSanta  #TravelSanta  #TravelSanta  #TravelSanta  #TravelSanta 99
0.5477838252581613-144,@LGIndiaTweets okie team thanks
0.5477838252581613-145,@makemytrip Yeah team twitting my heart out. Hope to win. Bring the next question on. #TravelSanta
0.5477838252581613-146,@makemytrip A.7) The Grinch #TravelSanta 60
0.5477838252581613-147,@makemytrip A.7) The Grinch #TravelSanta 59
0.5477838252581613-148,@makemytrip A.7) The Grinch #TravelSanta 58
0.5477838252581613-149,@makemytrip A.7) The Grinch #TravelSanta 57
0.5477838252581613-150,@makemytrip A.7) The Grinch #TravelSanta 56
0.5477838252581613-151,@makemytrip A.7) The Grinch #TravelSanta 55
0.5477838252581613-152,@makemytrip A.7) The Grinch #TravelSanta 54
0.5477838252581613-153,@makemytrip A.7) The Grinch #TravelSanta 53
0.5477838252581613-154,@makemytrip A.7) The Grinch #TravelSanta 52
0.5477838252581613-155,@makemytrip A.7) The Grinch #TravelSanta 51
0.5477838252581613-156,@makemytrip A.7) The Grinch #TravelSanta 50
0.5477838252581613-157,@makemytrip A.7) The Grinch #TravelSanta 49
0.5477838252581613-158,@makemytrip A.7) The Grinch #TravelSanta 48
0.5477838252581613-159,@makemytrip A.7) The Grinch #TravelSanta 47
0.5477838252581613-160,@makemytrip A.7) The Grinch #TravelSanta 46
0.5477838252581613-161,@makemytrip A.7) The Grinch #TravelSanta 45
0.5477838252581613-162,@makemytrip A.7) The Grinch #TravelSanta 44
0.5477838252581613-163,@makemytrip A.7) The Grinch #TravelSanta 43
0.5477838252581613-164,@makemytrip A.7) The Grinch #TravelSanta 42
0.5477838252581613-165,@makemytrip A.7) The Grinch #TravelSanta 41
0.5477838252581613-166,@makemytrip A.7) The Grinch #TravelSanta 40
0.5477838252581613-167,@makemytrip A.7) The Grinch #TravelSanta 39
0.5477838252581613-168,@makemytrip A.7) The Grinch #TravelSanta 38
0.5477838252581613-169,@makemytrip A.7) The Grinch #TravelSanta 37
0.5477838252581613-170,@makemytrip A.7) The Grinch #TravelSanta 36
0.5477838252581613-171,@makemytrip A.7) The Grinch #TravelSanta 35
0.5477838252581613-172,@makemytrip A.7) The Grinch #TravelSanta 34
0.5477838252581613-173,@makemytrip A.7) The Grinch #TravelSanta 33
0.5477838252581613-174,@makemytrip A.7) The Grinch #TravelSanta 32
0.5477838252581613-175,@makemytrip A.7) The Grinch #TravelSanta 31
0.5477838252581613-176,@makemytrip A.7) The Grinch #TravelSanta 30
0.5477838252581613-177,@makemytrip A.7) The Grinch #TravelSanta 29
0.5477838252581613-178,@makemytrip A.7) The Grinch #TravelSanta 28
0.5477838252581613-179,@makemytrip A.7) The Grinch #TravelSanta 27
0.5477838252581613-180,@makemytrip A.7) The Grinch #TravelSanta 26
0.5477838252581613-181,@makemytrip A.7) The Grinch #TravelSanta 25
0.5477838252581613-182,@makemytrip A.7) The Grinch #TravelSanta 24
0.5477838252581613-183,@makemytrip A.7) The Grinch #TravelSanta 23
0.5477838252581613-184,@makemytrip A.7) The Grinch #TravelSanta 22
0.5477838252581613-185,@makemytrip A.7) The Grinch #TravelSanta 21
0.5477838252581613-186,@makemytrip A.7) The Grinch #TravelSanta 20
0.5477838252581613-187,@makemytrip A.7) The Grinch #TravelSanta 19
0.5477838252581613-188,@makemytrip MASSIVE SHOUT OUT LIKE NEVER BEFORE FOR #TravelSanta #TravelSanta  #TravelSanta  #TravelSanta  #TravelSanta  #TravelSanta 65
0.5477838252581613-189,@makemytrip MASSIVE SHOUT OUT LIKE NEVER BEFORE FOR #TravelSanta #TravelSanta  #TravelSanta  #TravelSanta  #TravelSanta  #TravelSanta 64
0.5477838252581613-190,@makemytrip Njoyint to the fullest team. Bring the next question on team... loving it #TravelSanta
0.5477838252581613-191,@makemytrip A.6) White #TravelSanta 30
0.5477838252581613-192,@bhumika1231 okie okie
0.5477838252581613-193,@makemytrip A.6) White #TravelSanta 20
0.5477838252581613-194,@makemytrip A.6) White #TravelSanta 19
0.5477838252581613-195,@makemytrip A.5) Cookies & milk  #TravelSanta 10
0.5477838252581613-196,@makemytrip A.5) Cookies & milk  #TravelSanta 9
0.5477838252581613-197,https://twitter.com/roarthefilm/status/528508551137075200 …  @roarthefilm Team I have not received my prize yet. Kindly update. #RoarToday
0.5477838252581613-198,Congratulations to @Dreamer_Vikrant @achieverindia @LiveKanhaiya @Itzme_sk You guys have won Roar movie merchandise.
0.5477838252581613-199,@bhumika1231 @makemytrip It has started dear 5 question are down and only 5 left now join fast #TravelSanta
