id,text
0.5005587103772278-181,@Gurmeetramrahim #MSGDoing111WelfareWorks  g papa g...its only because of u pa ...
0.5005587103772278-182,@Gurmeetramrahim #MSGDoing111WelfareWorks  waoooooooooooo gr8 papa g ...grand solute to u papa g.....
0.5005587103772278-183,@Gurmeetramrahim #MSG100DaysInTheater  g papa g thanks a lot g love u pa...
0.5005587103772278-184,@Gurmeetramrahim #MSG100DaysInThreatre  g papa g ...n thanks papa g.....  :) :)
0.5005587103772278-185,@Gurmeetramrahim #MSG100Daysintheater waoooooooooooo love u pa.....thanks a lot g.....
0.5005587103772278-186,@Gurmeetramrahim #MSG100DaysInTheater  g papa g aapko bhi bahut - bahut mubarkein g  n thanks a lot papa g love u pa from both of us.....
0.5005587103772278-187,@Gurmeetramrahim #MSGDonated4Million  waooooooooooooo grtttttttttttttt papa ...love u pa .
0.5005587103772278-188,@Gurmeetramrahim #MSGDonated4Million  thanks papa g  love u so much g aap rehmt bhra aashirwad bnaye rkhna g n plz piti himmt do g...
0.5005587103772278-189,@Gurmeetramrahim #MSGDonated4Million  g papa g.. n thanks a lot g.....
0.5005587103772278-190,@Gurmeetramrahim #MSGDonated4Million  waooooooooooo piti looking oooooooossssssssmmmmmmnn love u pa..... :) :)
0.5005587103772278-191,@Gurmeetramrahim #MSGHelpEarthquakeVictims  thanks papa g...love u g n gud night pa sewa simran n prmarth ka BL bkshna g.....
0.5005587103772278-192,@Gurmeetramrahim waooooooooo greattttttttt papa g grand solute to u papa g...love u pa  .....  :) :)
0.5005587103772278-193,@Gurmeetramrahim #MSGHelpEarthquakeVictims piti plz rza mein rkhna g Jo ho aapki rza mein ho g.....rehmt bhra aashirwad bnaye rkhna g.....
0.5005587103772278-194,@Gurmeetramrahim   greatttttttttttttttt n  congrats to u pa.....love u g.....thanks pa
0.5005587103772278-195,@Gurmeetramrahim #MSGHelpEarthquakeVictims  we r ready papa g..................
0.5005587103772278-196,@Gurmeetramrahim #MSGHelpEarthquakeVictims ye sb aapki prerna ka asr h love u pa.....
0.5005587103772278-197,@Gurmeetramrahim #MSGHelpEarthquakeVictims sirf aap hi unhein save kr skte ho g.....
0.5005587103772278-198,@Gurmeetramrahim #MSGHelpEarthquakeVictims ye sb aap hi kr skte ho g... love u pa
0.5005587103772278-199,@Gurmeetramrahim #MSG1stSuperhit2015 waoooooooooooooo greatttttttttt ......
0.5005587103772278-200,@Gurmeetramrahim #MSG1stSuperhit2015 waooooooooooo greattt papa g ...aapke kya kehne thanks papa g love u sooooooooooo much g...  :) :)
0.5005587103772278-201,@Gurmeetramrahim #MSG1stSuperhit2015 thanks papa g...
0.5005587103772278-202,@Gurmeetramrahim #MSG1stSuperhit2015  grand solute to u papa .....
0.5005587103772278-203,@Gurmeetramrahim #MSG1stSuperhit2015  g piti n thanks papa g..... :) :)
0.5005587103772278-204,@Gurmeetramrahim #MSG1stSuperhit2015 g piti n thanks a lot g love u pa.... :) :)
0.5005587103772278-205,@Gurmeetramrahim #MSG1stSuperhit2015  thanks papa g n ye SB aapke dikhaye marg ka hi asar h g love u pa..... :) :)
0.5005587103772278-206,@Gurmeetramrahim #MSG150CroreClub  gr888888888888 papa g.....  :) :)
0.5005587103772278-207,@Gurmeetramrahim #MSG150CroreClub thanks papa g...n love u sooooooooo much papa.....  :) :)
0.5005587103772278-208,@Gurmeetramrahim #MSG150Croreclub  papa g plz tweet kr do na hum wait kr rhe hain plz papa g.....
0.5005587103772278-209,@Gurmeetramrahim #MSG4SuccessfulWeeks  thanks papa g...
0.5005587103772278-210,@Gurmeetramrahim #MSG3SuccessfulWeeks  thanks papa g. Love u pa.....  :) :)
0.5005587103772278-211,@Gurmeetramrahim #MSG3SuccessfulWeeks  g papa g.n thanks a lot g.....
0.5005587103772278-212,@Gurmeetramrahim #MSGRevolution  waooooooooooooo piti kya lg rhe ho superbbbbbbbb thanks papa g n love u pa..... :) :)
0.5005587103772278-213,@Gurmeetramrahim #MSGRevolution  g papa g.....  :) :)
0.5005587103772278-214,@Gurmeetramrahim #BlockBusterMSG  piti  India mein swine flu bahut fel rha h plz piti rehmt kro iss bimari ka khatma kro g plz papa g.....
0.5005587103772278-215,@Gurmeetramrahim #BlockBusterMSG  same to u papa g n thanks a lot g love u pa.....  :) :)
0.5005587103772278-216,@Gurmeetramrahim #MustWatchMSG  g papa g n thanks a lot g.....
0.5005587103772278-217,@Gurmeetramrahim #MSGinCinemas  pita g  aaj 13feb n  aaj all world mein 13(tera hi  jlwa) waooooooooooooo piti sb tera hi tera .....  :) :)
0.5005587103772278-218,@Gurmeetramrahim greattttt papa g.....  :) :)
0.5005587103772278-219,@Gurmeetramrahim @MSGTheFilm #3DaysToMSG  g piti  n thanks g papa g u r greattttttttttttt love u sooooooooooooooooo much g.....  :) :)
0.5005587103772278-220,@Gurmeetramrahim @MSGTheFilm #3DaysToMSG  g piti n thanks a lottttttttttt g...... :) :)
