id,text
0.712703462923385-231,Lenovo Vibe K5 Note OTA update adds VoLTE support for Reliance Jio...
0.712703462923385-232,Google Pixel and Pixel XL up for pre-order on Flipkart in India starting at Rs. 57000...
0.712703462923385-233,"Amazon Great Indian Festival Sale is coming back, scheduled from October 17 to 20..."
0.712703462923385-234,MediaTek MT2511 multi-function bio-sensing chip and MT2523 for fitness devices announced in India...
0.712703462923385-235,Amazon Music Unlimited on demand streaming service announced starting $4 per month...
0.712703462923385-236,Samsung offers up to $100 credit to exchange Galaxy Note7 for another Galaxy device...
0.712703462923385-237,"Google Photos will now make animations from video, rotate photos and more..."
0.712703462923385-238,"SwiftKey 6.4.5 beta for Android brings incognito mode, text expansion support and more..."
0.712703462923385-239,Apple reportedly in talks to acquire Sonder for dynamic E Ink keyboard tech...
0.712703462923385-240,"Xiaomi Mi Music Alarm Clock is also a Bluetooth speaker, has LEDs to show time..."
0.712703462923385-241,Samsung India offering freebies with Galaxy S7/S7 edge purchases for Galaxy Note7 pre-book customers...
0.712703462923385-242,Sony to launch at least five Playstation games for Android and iOS by 2018...
0.712703462923385-243,"5 Inch HD Screen, Android 6.0 & 4G Is The Key Features Of New Launched Smartphone Intex Aqua Craze II..."
0.712703462923385-244,Reliance Jio signs record 16 million new subscribers in 26 days of launch...
0.712703462923385-245,"Samsung Galaxy Note7 production reportedly halted, AT&T, T-Mobile and Verizon stop sales..."
0.712703462923385-246,Xiaomi 10000mAh Mi Power Bank Pro with two-way fast charging launched in India for Rs. 1999...
0.712703462923385-247,"Xiaomi Diwali with Mi sale from October 17 to 19 – Re. 1 flash sale, discounts and more..."
0.712703462923385-248,"Samsung Galaxy S7 and S7 edge update in India brings WiFi calling, better performance and more..."
0.712703462923385-249,Samsung starts mass production of Exynos 7 Dual 7270 14nm processor with built-in LTE for wearables...
0.712703462923385-250,"Samsung stops Galaxy Note7 sales and exchanges, tells users to switch off device..."
0.712703462923385-251,"Android 7.1 Developer Preview with App shortcuts, Image keyboard and more to roll out this month..."
0.712703462923385-252,Uber planning bus and mini-van ride sharing service Uber Everything in India...
0.712703462923385-253,"Dropbox for iOS gets PDF signing, new widget, iMessage integrations and more..."
0.712703462923385-254,LG Innotek introduces 15-watt Quick Wireless Charging Pad for smartphones...
0.712703462923385-255,UIMI U3 6000mAh waterproof power bank with Solar charging launched for Rs. 799...
0.712703462923385-256,MyAirtel App for Android and iPhone updated with ‘Airtel Apps’ section...
0.712703462923385-257,Google Pixel and Pixel XL up for pre-order on Flipkart in India starting at Rs. 57000...
0.712703462923385-258,"Amazon Great Indian Festival Sale is coming back, scheduled from October 17 to 20..."
0.712703462923385-259,MediaTek MT2511 multi-function bio-sensing chip and MT2523 for fitness devices announced in India...
0.712703462923385-260,Amazon Music Unlimited on demand streaming service announced starting $4 per month...
0.712703462923385-261,Samsung offers up to $100 credit to exchange Galaxy Note7 for another Galaxy device...
0.712703462923385-262,Sony BRAVIA KD-65Z9D 65-inch 4K HDR Android 3D Smart TV launched in India for Rs. 504900...
0.712703462923385-263,"Google Photos will now make animations from video, rotate photos and more..."
0.712703462923385-264,"SwiftKey 6.4.5 beta for Android brings incognito mode, text expansion support and more..."
0.712703462923385-265,Apple reportedly in talks to acquire Sonder for dynamic E Ink keyboard tech...
0.712703462923385-266,"Xiaomi Mi Music Alarm Clock is also a Bluetooth speaker, has LEDs to show time..."
0.712703462923385-267,Samsung India offering freebies with Galaxy S7/S7 edge purchases for Galaxy Note7 pre-book customers...
0.712703462923385-268,"Samsung Galaxy S7 and S7 edge update in India brings WiFi calling, better performance and more..."
0.712703462923385-269,Samsung starts mass production of Exynos 7 Dual 7270 14nm processor with built-in LTE for wearables...
0.712703462923385-270,HyperX CloudX Gears of War gaming headset launched in India for Rs. 11999...
0.712703462923385-271,"Samsung stops Galaxy Note7 sales and exchanges, tells users to switch off device..."
0.712703462923385-272,Facebook takes on Slack with Workplace for enterprise customers...
0.712703462923385-273,Samsung to permanently kill production and sales of Galaxy Note7...
0.712703462923385-274,"Android 7.1 Developer Preview with App shortcuts, Image keyboard and more to roll out this month..."
0.712703462923385-275,Uber planning bus and mini-van ride sharing service Uber Everything in India...
0.712703462923385-276,"Dropbox for iOS gets PDF signing, new widget, iMessage integrations and more..."
0.712703462923385-277,LG Innotek introduces 15-watt Quick Wireless Charging Pad for smartphones...
0.712703462923385-278,Google introduces group plans for Project Fi http://www.techotweet.com/2016/10/google-introduces-group-plans-for.html …
0.712703462923385-279,UIMI U3 6000mAh waterproof power bank with Solar charging launched for Rs. 799...
0.712703462923385-280,MyAirtel App for Android and iPhone updated with ‘Airtel Apps’ section...
0.712703462923385-281,Google Pixel and Pixel XL up for pre-order on Flipkart in India starting at Rs. 57000...
0.712703462923385-282,"Amazon Great Indian Festival Sale is coming back, scheduled from October 17 to 20..."
0.712703462923385-283,MediaTek MT2511 multi-function bio-sensing chip and MT2523 for fitness devices announced in India...
0.712703462923385-284,Amazon Music Unlimited on demand streaming service announced starting $4 per month...
0.712703462923385-285,Samsung offers up to $100 credit to exchange Galaxy Note7 for another Galaxy device...
0.712703462923385-286,Sony BRAVIA KD-65Z9D 65-inch 4K HDR Android 3D Smart TV launched in India for Rs. 504900... http://fb.me/5vqNC3ZUK 
0.712703462923385-287,"Google Photos will now make animations from video, rotate photos and more..."
0.712703462923385-288,Shazam Lite for Android uses less data and is optimized for 2G networks...
0.712703462923385-289,Google Play Music now curates workout playlists for Runtastic’s Android app...
0.712703462923385-290,"Prisma for Android gets offline support, iOS app gets 15 seconds video support..."
0.712703462923385-291,"itel it1520 with 13MP front and rear cameras, eye-based unlocking, 4G VoLTE launched for Rs. 8490..."
